YEAR,PLAYER,TEAM,SALARY
2002,Walter McCarty,Celtics,3125000
2002,Baron Davis,Hornets,3119000
2002,Vince Carter,Raptors,3073000
2002,Darius Miles,Clippers,3054000
2002,Evan Eschmeyer,Mavericks,3038000
2002,Jaren Jackson,Magic,3020000
2002,LaPhonso Ellis,Heat,3000000
2002,Eric Piatkowski,Clippers,3000000
2002,Derek Fisher,Lakers,3000000
2002,Lawrence Funderburke,Kings,3000000
2002,Anthony Peeler,Timberwolves,2978000
2002,Pau Gasol,Grizzlies,2970000
2002,Andrew DeClercq,Magic,2900000
2002,Lamar Odom,Clippers,2812000
2002,Robert Traylor,Hornets,2793000
2002,Tyson Chandler,Bulls,2756000
2002,Marcus Fizer,Bulls,2754000
2002,Lindsey Hunter,Lakers,2700000
2002,Chris Whitney,Wizards,2666000
2002,John Wallace,Suns,2630000
2002,Jason Williams,Grizzlies,2554000
2002,Jonathan Bender,Pacers,2546000
2002,Mikki Moore,Pistons,2531000
2002,Chris Gatling,Heat,2504000
2002,Chris Crawford,Hawks,2500000
2002,Mike Miller,Magic,2494000
2002,Eric Montross,Raptors,2480000
2002,Bimbo Coles,Cavaliers,2475000
2002,Randy Brown,Celtics,2475000
2002,Aaron Williams,Nets,2475000
2002,Othella Harrington,Knicks,2475000
2002,Bobby Jackson,Kings,2475000
2002,Horace Grant,Magic,2419000
2002,Steve Kerr,Blazers,2406000
2002,Terry Porter,Spurs,2400000
2002,Rodney Rogers,Suns,2400000
2002,Calbert Cheaney,Nuggets,2400000
2002,George McCloud,Nuggets,2400000
2002,Sean Rooks,Clippers,2400000
2002,Grant Long,Grizzlies,2400000
2002,Hubert Davis,Wizards,2368000
2002,Larry Hughes,Warriors,2343000
2002,Wally Szczerbiak,Timberwolves,2313000
2002,Malik Rose,Spurs,2285000
2002,Vinny Del Negro,Suns,2275000
2002,DerMarr Johnson,Hawks,2265000
2002,Eddy Curry,Bulls,2232000
2002,Shane Battier,Grizzlies,2203000
2002,John Amaechi,Jazz,2175000
2002,Dirk Nowitzki,Mavericks,2157000
2002,Patrick Ewing,Magic,2118000
2002,Richard Hamilton,Wizards,2111000
2002,Dell Curry,Raptors,2100000
2002,Chris Mihm,Cavaliers,2067000
2002,Paul Pierce,Celtics,2051000
2002,Bonzi Wells,Blazers,2028000
2002,Jason Richardson,Warriors,2021000
2002,Eddie Griffin,Rockets,2011000
2002,Michael Doleac,Cavaliers,2000000
2002,Bryant Stith,Cavaliers,2000000
2002,Keon Clark,Raptors,1971000
2002,Michael Dickerson,Grizzlies,1940000
2002,Andre Miller,Cavaliers,1934000
2002,Greg Foster,Bucks,1924000
2002,Matt Harpring,76ers,1908000
2002,Jamal Crawford,Bulls,1894000
2002,DeSagana Diop,Cavaliers,1842000
